university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Electrical Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/electrical-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Electrical Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/electrical-engineering-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Electrical Engineering,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/electrical-engineering-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Electrical Engineering F.M. Long Memorial Bioengineering Option,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/electrical-engineering-bioengineering-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Elementary Education,Bachelor of Arts (B.A.),"Laramie Campus, Online, Hybrid, UW Casper",https://www.uwyo.edu/uw/degree-programs/elementary-education-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Elementary Education and Special Education,Bachelor of Arts (B.A.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/elementary-education-special-education-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Energy and Petroleum Engineering,Master of Engineering (M.Eng.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/masters-energy-petroleum-engineering.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Energy Business,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/energy-business-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Energy Resource Management and Development,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/energy-resource-management.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,English,Bachelor of Arts (B.A.),"Laramie Campus, UW Casper",https://www.uwyo.edu/uw/degree-programs/english-ba.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,English,Master of Arts (M.A.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/english-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,English,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/english-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,English as a Second Language,Graduate Certificate,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/english-second-language-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,English as a Second Language,Undergraduate Minor,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/esl-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Entomology,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/entomology-ms-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Entrepreneurship,Focus Area,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/entrepreneurship-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Entrepreneurship,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/entrepreneurship-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environment and Natural Resources,Concurrent Major,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environment-natural-resources-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environment and Natural Resources,Concurrent Major,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environment-natural-resources-graduate-major.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environment and Natural Resources,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environment-natural-resources-graduate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environment and Natural Resources,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environmental-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"Environment, Natural Resources and Society",Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environment-natural-resources-society-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environmental Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environmental-engineering-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environmental Geology and Geohydrology,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environmental-geology-geohydrology-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environmental Systems Science,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environmental-systems-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Environmental Values,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/environmental-values-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Equine Science,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/equine-science-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Ethics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/ethics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"European Languages, Literature and Film Studies",Bachelor of Arts (B.A.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/european-studies-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,European Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/european-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Exploratory Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/exploratory-studies.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Family and Consumer Sciences,Master of Science (M.S.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/family-consumer-sciences-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Farm and Ranch Management,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/farm-management-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Finance,Bachelor of Science in Business (B.S.B.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/finance-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Finance,Master of Science (M.S.),Online,https://www.uwyo.edu/uw/degree-programs/finance-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Food Science and Human Nutrition,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/food-science-human-nutrition-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Forest Resources,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/forest-resources-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,French,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/french-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Gender and Women’s Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/womens-gender-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geographic Information Systems,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/geographic-information-systems-certificate.html
